wavelength,Ezero,a_W,bb_W,chi,e,fastocean_450,fastocean_530,fastocean_624,fasttracka_ii,fire,phyto_abs,fastact
604,0.799884705,0.254627841,0.000490723,0.052497707,0.491379115,0,263.8497059,2640.077353,8.016,0,0.011191777,139.9298637
603,0.804877563,0.250130324,0.000494248,0.052447892,0.491949152,0,282.5438235,2364.610294,7.302,0,0.011191777,144.4580698
602,0.807990087,0.24314023,0.000497805,0.052369223,0.492729632,0,314.7576471,2125.048235,7.582,0,0.011191777,149.856185
601,0.810400528,0.233587653,0.000501393,0.052280369,0.493740075,0,326.6868571,1851.270286,12.324,0,0.011191777,156.7055664
600,0.810438235,0.2224,0.000505013,0.0522,0.495,0,351.9441176,1698.062941,16.742,0,0.011191777,164.7708353
599,0.807695741,0.210474561,0.000508665,0.052142954,0.496499127,0,367.5017647,1490.061176,10.652,0,0.012590749,176.2030137
598,0.804796568,0.198414722,0.00051235,0.052108746,0.498107972,0,372.3014706,1359.873235,13.144,0,0.012590749,189.3832815
597,0.803708006,0.186754171,0.000516068,0.052093062,0.499667255,0,407.3902941,1226.559706,18.598,0,0.012590749,205.1446812
596,0.804116365,0.176113458,0.000519819,0.052091585,0.501017692,0,470.4914286,1136.464571,14.426,0,0.012590749,223.6153003
595,0.805395619,0.1672,0.000523604,0.0521,0.502,0,479.1152941,1015.629412,16.738,0,0.012590749,245.329704
594,0.807099066,0.160370412,0.000527423,0.052114477,0.502504379,0,552.6529412,868.8676471,16.118,0,0.012590749,270.9370747
593,0.80928646,0.154562989,0.000531276,0.052133123,0.502618958,0,586.5985294,775.0638235,17.816,0,0.012590749,301.0811591
592,0.81210633,0.148409359,0.000535163,0.05215453,0.502481348,0,615.5441176,684.3005882,15.058,0,0.012590749,338.9814006
591,0.815698757,0.141643152,0.000539086,0.052177292,0.502229158,0,682.945,596.54,14.496,0,0.012590749,384.5687924
590,0.819747465,0.1351,0.000543044,0.0522,0.502,0,683.6842857,510.2871429,15.722,0,0.012590749,430.6973664
589,0.823337933,0.129438408,0.000547039,0.052223139,0.501899356,0,753.2005882,465.7276471,13.436,0,0.012590749,469.2066151
588,0.825850946,0.124416721,0.000551069,0.052254762,0.501904194,0,778.3188235,456.0076471,16.362,0,0.012590749,496.378924
587,0.826879818,0.119580052,0.000555136,0.052304816,0.501959354,0,892.1417647,382.0888235,14.934,0,0.012590749,516.549895
586,0.826240857,0.11474507,0.00055924,0.052383247,0.502009676,0,895.9011765,349.5397059,19.674,0,0.012590749,532.3146032
585,0.823810899,0.11,0.000563382,0.0525,0.502,0,989.57,340.44,13.74,0,0.012590749,547.3164571
584,0.820201897,0.105426497,0.000567561,0.052660968,0.501890197,0,1142.470857,293.6342857,16.316,0,0.012590749,553.5042492
583,0.816713498,0.101032704,0.000571779,0.052855828,0.501700266,0,1186.122571,231.1491429,24.084,0,0.012590749,559.6920413
582,0.814478859,0.096814567,0.000576035,0.053070204,0.501465236,0,1298.547429,175.8422857,15.078,0,0.012590749,569.9558334
581,0.813183259,0.092910224,0.00058033,0.05328972,0.501220137,0,1372.642941,205.9811765,15.188,0,0.012590749,579.3185216
580,0.81188869,0.0896,0.000584665,0.0535,0.501,0,1469.940588,63.91323529,18.558,0,0.012590749,589.0886326
579,0.810965184,0.087029353,0.00058904,0.05368899,0.500835856,0,1579.854706,0,14.644,0,0.012590749,600.991805
578,0.812471862,0.084779535,0.000593455,0.053853927,0.500742743,0,1685.192571,0,13.684,0,0.012590749,613.9922301
577,0.817542446,0.082313491,0.000597911,0.053994368,0.500731702,0,1834.734286,0,18.12,0,0.012590749,629.3516425
576,0.823470808,0.079617265,0.000602408,0.054109873,0.500813775,0,1986.098824,0,25.012,0,0.012590749,646.5541465
575,0.829185636,0.0772,0.000606947,0.0542,0.501,0,2171.654571,0,25.828,0,0.012590749,664.0877405
574,0.835451796,0.075429244,0.000611529,0.054266271,0.50131038,0,2383.06,0,25.246,0,0.012590749,682.5503246
573,0.842755292,0.074015188,0.000616152,0.054318064,0.501800763,0,2508.452857,0,21.306,0,0.012590749,701.3243839
572,0.849802132,0.072520708,0.000620819,0.054366722,0.502535955,0,2730.829412,0,31.04,0,0.012590749,725.3696523
571,0.854947944,0.070900284,0.00062553,0.054423587,0.503580764,0,2923.876857,0,23.394,0,0.012590749,752.5996242
570,0.85839608,0.0695,0.000630285,0.0545,0.505,0,3153.39,0,35.552,0,0.012590749,786.0312132
569,0.86112184,0.068545665,0.000635084,0.054603526,0.506818623,0,3357.746286,0,38.572,0,0.012590749,821.2902965
568,0.864012385,0.067713891,0.000639928,0.054726616,0.508902207,0,3630.902571,0,37.81,0,0.012590749,856.1020183
567,0.86713529,0.066566815,0.000644818,0.054857943,0.51107648,0,3916.994412,0,44.482,0,0.012590749,884.949865
566,0.87012327,0.065191513,0.000649754,0.05498618,0.513167168,0,4160.132571,0,46.424,0,0.012590749,907.1678754
565,0.872616517,0.0642,0.000654737,0.0551,0.515,0,4601.183714,0,45.422,0,0.012590749,926.8713974
564,0.874272738,0.063998865,0.000659767,0.055191626,0.516447128,0,4990.445714,0,46.854,0,0.012590749,944.2178228
563,0.874799977,0.064081688,0.000664844,0.055267473,0.51756641,0,5424.495429,0,48.4,0,0.012590749,957.1624754
562,0.874640362,0.063739503,0.00066997,0.055337508,0.518462127,0,5775.405714,0,54.416,0,0.013989721,964.8812932
561,0.87476398,0.062854493,0.000675144,0.055411695,0.519238563,0,6225.964,0,57.998,0,0.013989721,966.6927175
560,0.875434931,0.0619,0.000680368,0.0555,0.52,0,6541.775,0,64.694,0,0.013989721,967.9324737
559,0.876279138,0.061254441,0.000685642,0.055609172,0.520832864,0,6984.407353,0,60.398,0,0.013989721,969.3475824
558,0.876946351,0.060813743,0.000690966,0.055733092,0.521752153,0,7503.562941,0,66.362,0,0.015388693,971.4544118
557,0.877416081,0.06036222,0.000696341,0.055862427,0.522755011,0,7929.287143,0,75.044,0,0.015388693,974.9957284
556,0.87781207,0.059891394,0.000701767,0.055987841,0.523838579,0,8410.47,0,80.224,0,0.015388693,978.1078805
555,0.878258677,0.0596,0.000707246,0.0561,0.525,0,9033.085143,0,84.992,0,0.015388693,979.810123
554,0.879017418,0.05958571,0.000712777,0.056197287,0.526223817,0,9699.796,0,84.958,0,0.015388693,981.5123655
553,0.880820053,0.05950592,0.000718362,0.056308957,0.527444177,0,10510.49206,0,86.204,0,0.015388693,985.8222082
552,0.883917726,0.058925178,0.000724001,0.056471984,0.528582629,0,11362.27229,0,92.494,0,0.016787665,987.0043013
551,0.887653224,0.057804226,0.000729695,0.05672334,0.529560721,0,12012.07,0,108.17,0,0.016787665,987.7832256
550,0.891304677,0.0565,0.000735443,0.0571,0.5303,0,12962.57086,0,118.832,0,0.016787665,986.4335786
549,0.894361364,0.055310304,0.000741248,0.05762408,0.530766268,0,13610.28143,0,122.172,0,0.016787665,983.6962366
548,0.896554107,0.05422753,0.000747109,0.058258279,0.531102337,0,14548.10971,0,130.068,0,0.018186637,985.5516171
547,0.898053348,0.053170266,0.000753028,0.058950437,0.531495272,0,15522.81,0,144.436,0,0.018186637,985.313875
546,0.899186535,0.052115776,0.000759004,0.059648397,0.532132138,0,16434.18,0,149.974,0,0.018186637,990.6543271
545,0.90028111,0.0511,0.000765038,0.0603,0.5332,0,17392.49829,0,163.778,0,0.018186637,994.2930093
544,0.901437922,0.050156146,0.000771132,0.060863191,0.534823911,0,18425.60371,0,175.14,0,0.019585609,998.5395171
543,0.90210291,0.049296297,0.000777286,0.061336327,0.536880874,0,19699.818,0,183.996,0,0.019585609,1001.695862
542,0.901617883,0.048528144,0.0007835,0.061727868,0.539185882,0,20809.97286,0,196.346,0,0.019585609,1000.560324
541,0.899949285,0.047879841,0.000789776,0.062046272,0.541553927,0,22023.74857,0,215.846,0,0.019585609,1001.152316
540,0.897938049,0.0474,0.000796114,0.0623,0.5438,23.8,23570.18,0,240.916,0,0.020984581,996.7699222
539,0.896490358,0.047095739,0.000802514,0.062498354,0.545776489,88.98571429,24573.50857,0,260.298,0,0.020984581,993.3498398
538,0.896232629,0.046804629,0.000808978,0.062654012,0.547485366,65.26628571,25778.97571,0,272.706,0,0.020984581,986.8379292
537,0.896508917,0.046331756,0.000815506,0.062780492,0.548965998,79.606,27028.628,0,294.548,0,0.022383553,981.7680682
536,0.896298905,0.045709994,0.000822099,0.062891315,0.550257754,78.48314286,28548.66486,0,322.87,0,0.022383553,978.8029097
535,0.895064333,0.0452,0.000828758,0.063,0.5514,103.7854286,29893.65371,0,350.08,0,0.023782525,975.7576373
534,0.893289644,0.044977004,0.000835484,0.063120191,0.552450933,81.73257143,31224.03514,0,384.634,0,0.023782525,972.4847849
533,0.891589816,0.044834907,0.000842276,0.063266026,0.553544062,124.8502857,32880.806,0,421.376,0,0.023782525,965.9412068
532,0.890559197,0.044484444,0.000849137,0.063451765,0.554831724,138.172,34150.03943,0,469.604,0,0.025181497,962.566735
531,0.890212146,0.043916077,0.000856067,0.063691669,0.556466258,142.1542857,35517.656,0,521.492,0,0.025181497,959.1922631
530,0.889917532,0.0434,0.000863067,0.064,0.5586,128.584,36827.29,0,572.554,0,0.025181497,951.8281678
