,fo,fm,sigma,fvfm,ro,rsq,bias,chi,fo_err,fm_err,sigma_err,ro_err,nfl,datetime
1228,0.600154565762465,0.7715251309353888,308.06220916160396,0.22211922632404207,2.000910011642478e-14,0.9310667745369335,0.01331219874988102,0.01190201017020521,0.010385379923045833,0.001418568480352536,17.598905746220847,0.17627136660038684,100.0,2010-07-27 18:15:15
1229,0.6098723781150266,0.7926429839112394,312.58274450168244,0.23058376785768608,4.1714377772335336e-17,0.9228024284671127,0.012967138124114024,0.014528610493129817,0.011720619521941459,0.0015846977032241561,18.96474171320871,0.18682274733017404,100.0,2010-07-27 18:15:50
1230,0.6213384623036705,0.7970104390347582,310.8504581810591,0.2204136459540482,6.597068415094155e-17,0.9348329410639205,0.012880280806917156,0.011135069788060455,0.010121016484408354,0.001398345358274305,17.07692579942914,0.16946517080073942,100.0,2010-07-27 18:16:25
1231,0.6070695954385957,0.7740374994302598,326.67143638375916,0.2157103552664605,0.14776932550280072,0.9344050262723883,0.013237806333947708,0.01058816932121749,0.009252637404353337,0.0012343085436081875,16.825474078128945,0.14165728889083237,100.0,2010-07-27 18:17:00
1232,0.6059043015356188,0.7670838827287344,274.90080176369537,0.21011989017388064,5.557226564771024e-13,0.9236576040105307,0.013412360128227916,0.013064196241356196,0.009988942362181834,0.0016084564362772663,16.654643640045304,0.18813393832624623,100.0,2010-07-27 18:17:35
1233,0.6028140398829696,0.7779926079646877,325.50447252109296,0.22516739399363206,9.731884617329444e-14,0.9267975779009843,0.013186690935547208,0.012492677524621557,0.010948904209313898,0.0014152731266441469,19.093302929155122,0.18038923924100228,100.0,2010-07-27 18:18:10
1234,0.608062674355051,0.777575424944431,296.11161020244884,0.21800168208954665,1.2067668542382549e-15,0.932896517799198,0.013216945840378377,0.01130122315501125,0.009676123992241518,0.001448014933829411,16.462107979958088,0.17202762193610227,100.0,2010-07-27 18:18:45
1235,0.5979029075219799,0.7671168761722212,299.5992871120266,0.22058433845777106,1.2909795026555937e-11,0.9353683261089858,0.013396420031209425,0.010829273326365404,0.009562533047298372,0.0013968619660213095,16.34762490196578,0.16883306140186147,100.0,2010-07-27 18:19:20
1236,0.577318878846774,0.7274231319186408,322.54331357784844,0.20635067333637575,0.2616759456429789,0.9250874235424327,0.014076767915399373,0.011420764113041436,0.008572752637859822,0.0011882471205943229,16.903837193844385,0.1307106385601671,100.0,2010-07-27 18:19:55
1237,0.5882913185746121,0.752014036244056,302.07036742138416,0.21771231623170115,0.033612262614875724,0.9392678993537982,0.013657384540898971,0.009953747377002449,0.008941270742600585,0.0012833173425603555,15.758649986953438,0.15728255511173977,100.0,2010-07-27 18:20:30
1238,0.5794774296541864,0.7445010510489886,306.58513397132606,0.22165666678681903,1.2230428349866206e-12,0.9251966953466139,0.013796602722084461,0.012510430693194298,0.010268670329135969,0.0014323101184654467,18.21713729924239,0.1833621989536107,100.0,2010-07-27 18:21:05
1239,0.5784533700565485,0.7458114932110129,334.6519201488293,0.2243973506414089,8.67925097732856e-12,0.9330948618219802,0.013742432250411593,0.010284421830224492,0.009878854500299543,0.0012493895763161194,18.556617844889207,0.17073744079906375,100.0,2010-07-27 18:21:40
1240,0.5885384181090145,0.7528055901796029,297.7231286595449,0.21820663158385664,5.650890252888046e-14,0.9317364100415106,0.013649869999610854,0.011146615524595884,0.0094915608675032,0.0014053797705888599,16.687019086294406,0.17358218143274548,100.0,2010-07-27 18:22:15
1241,0.5576998842571996,0.7196140887016393,316.2248059476086,0.2250014375574174,1.7206039649525978e-15,0.9255495956460374,0.01426719622291239,0.011809403461735993,0.009983934351266478,0.0013579072923458814,18.591632476581204,0.18135821455086468,100.0,2010-07-27 18:22:50
1242,0.5682138725183338,0.7122668959341101,313.9717035047198,0.20224584946750393,0.18078004611778054,0.8969028979085139,0.014377813766374746,0.014756984497784596,0.010100258026326126,0.001408129297106412,20.477010832267382,0.17462321630639593,100.0,2010-07-27 18:23:25
1243,0.5853203085691289,0.747795682523694,284.92006342645584,0.21727241511509673,4.5933325774086854e-20,0.9365331903158451,0.013756952272990156,0.010341891012090125,0.008773502963924144,0.001405841219875957,15.318234465179955,0.1665494112080405,100.0,2010-07-27 18:24:00
1244,0.5536437850929945,0.7018061350661594,316.82185766126383,0.2111157805128016,0.031400853531791215,0.9282010804156297,0.014602039466610449,0.009757663254281452,0.008811835276334012,0.0012077131611827766,17.943424208056985,0.17095858100050557,100.0,2010-07-27 18:24:35
1245,0.5522997695866317,0.6994956849071234,285.18929602471337,0.21043148442014456,0.0417263787573631,0.9363850836396314,0.014692255512846803,0.009433805739080713,0.008007925637474248,0.0012578596382693584,15.143300453450136,0.15958365310915842,100.0,2010-07-27 18:25:10
1246,0.5440812942971807,0.686813736504586,299.8926531117905,0.2078182695264894,0.20317856048363478,0.9227149226200038,0.01493973852407487,0.011569489237516087,0.00833050563327101,0.0012383226442519305,16.416180371880344,0.1441983972910928,100.0,2010-07-27 18:25:45
1247,0.5452063376285924,0.6837612529214043,314.16494038418875,0.202636394941698,0.15752353788735662,0.9217872238657606,0.014976843304711286,0.010583221007437688,0.00838690513107235,0.001165972425114095,17.74237973197539,0.1540615889272602,100.0,2010-07-27 18:26:20
1248,0.5490864233049357,0.6823589535790289,312.7851403880514,0.19531146997495635,0.2607737911631896,0.9146245435986645,0.014996851062083823,0.011491575419999001,0.008203331221520184,0.0011616944376098622,17.68116623154113,0.14124615775090554,100.0,2010-07-27 18:26:55
1249,0.5432568533318266,0.6846116612229766,285.34833726207097,0.20647443784208488,0.1057842672191518,0.9165992823464975,0.015005604353948002,0.012285541421649789,0.008745421331225646,0.0013733454681824247,17.052343970020285,0.17091956849262896,100.0,2010-07-27 18:27:30
1250,0.534316721129558,0.6632910920988102,280.0385596288613,0.19444610745660215,0.3535275780686499,0.918460715637187,0.015473450412491383,0.012151050851729043,0.007268436691671275,0.0011960894490390826,14.598321156583731,0.11942391399269053,100.0,2010-07-27 18:28:05
1251,0.5087017231106004,0.6416922626908053,290.93799321151647,0.20724971658928265,1.8616268007248196e-15,0.9082189747148878,0.01600025016816028,0.012042256600994944,0.008998061706778844,0.00137229364133399,19.20793646856026,0.2043182130603404,100.0,2010-07-27 18:28:40
1252,0.5197433163829871,0.6415470764237193,268.47282008829205,0.1898594265595018,0.02499322020965232,0.9092056197826235,0.01599988759934289,0.010941120247894004,0.008068042931358007,0.0013594839112649904,17.573000714699425,0.19993891926657587,100.0,2010-07-27 18:29:15
1253,0.5084663874533234,0.6174414659456479,295.6257083453101,0.1764945901801764,0.46161854965768184,0.9095271975033918,0.01655832552048894,0.010561407932442186,0.006201219114546425,0.001010383510927256,15.226002500007569,0.10485458593245808,100.0,2010-07-27 18:29:50
1254,0.4855983048771036,0.6016566566123869,279.32762934136406,0.19289797671108136,0.10816824210591987,0.9074743791349057,0.01705099580032234,0.010653245293591563,0.00746825513815799,0.001218554856702972,17.559632997117795,0.17961517002695038,100.0,2010-07-27 18:30:25
1255,0.4749163354282071,0.6010066194826695,293.86915243406804,0.2097984946704873,4.716091616247756e-14,0.9074104263886457,0.017084501785005264,0.011598196942610413,0.008554610804272462,0.0012912956670355746,19.45324777511576,0.20468754486021748,100.0,2010-07-27 18:31:00
1256,0.4834735278108231,0.5925448373513237,267.2849885641566,0.18407266870815972,0.1470845123653577,0.9056715537616499,0.01731186710477112,0.010509468950962813,0.007061867761949792,0.0012000043515222234,16.804270833982727,0.17429461874986021,100.0,2010-07-27 18:31:35
1257,0.4695414926791425,0.5751033186611734,253.70069748744737,0.18355280269948054,0.027010600603816513,0.9148221430978062,0.0178589370358737,0.008766163964523547,0.006485212454616665,0.0012220887840616226,15.980956223705702,0.19201146527073992,100.0,2010-07-27 18:32:10
