,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
389,110,0.16785,2016-07-06 18:04:29,2.0,1805,0.0002636,2
390,111,0.178721,2016-07-06 18:04:29,2.0,1979,0.0002636,2
391,112,0.175894,2016-07-06 18:04:29,2.0,2156,0.0002636,2
392,113,0.182837,2016-07-06 18:04:29,2.0,2336,0.0002636,2
393,114,0.176204,2016-07-06 18:04:29,2.0,2518,0.0002636,2
394,115,0.17532,2016-07-06 18:04:29,2.0,2702,0.0002636,2
395,116,0.176622,2016-07-06 18:04:29,2.0,2890,0.0002636,2
396,117,0.173275,2016-07-06 18:04:29,2.0,3080,0.0002636,2
397,118,0.17225,2016-07-06 18:04:29,2.0,3273,0.0002636,2
398,119,0.17779,2016-07-06 18:04:29,2.0,3470,0.0002636,2
399,120,0.17683800000000002,2016-07-06 18:04:29,2.0,3669,0.0002636,2
400,121,0.17617,2016-07-06 18:04:29,2.0,3871,0.0002636,2
401,122,0.178498,2016-07-06 18:04:29,2.0,4076,0.0002636,2
402,123,0.183775,2016-07-06 18:04:29,2.0,4284,0.0002636,2
403,124,0.17393699999999998,2016-07-06 18:04:29,2.0,4495,0.0002636,2
404,125,0.17836300000000002,2016-07-06 18:04:29,2.0,4709,0.0002636,2
405,126,0.174875,2016-07-06 18:04:29,2.0,4927,0.0002636,2
406,127,0.175853,2016-07-06 18:04:29,2.0,5148,0.0002636,2
407,128,0.18187899999999999,2016-07-06 18:04:29,2.0,5372,0.0002636,2
408,129,0.164516,2016-07-06 18:04:29,2.0,5600,0.0002636,2
409,130,0.180786,2016-07-06 18:04:29,2.0,5831,0.0002636,2
410,131,0.166743,2016-07-06 18:04:29,2.0,6065,0.0002636,2
411,132,0.173842,2016-07-06 18:04:29,2.0,6303,0.0002636,2
412,133,0.177783,2016-07-06 18:04:29,2.0,6545,0.0002636,2
413,134,0.17893699999999998,2016-07-06 18:04:29,2.0,6790,0.0002636,2
414,135,0.175792,2016-07-06 18:04:29,2.0,7039,0.0002636,2
415,136,0.18044200000000002,2016-07-06 18:04:29,2.0,7291,0.0002636,2
416,137,0.175887,2016-07-06 18:04:29,2.0,7548,0.0002636,2
417,138,0.18371500000000002,2016-07-06 18:04:29,2.0,7808,0.0002636,2
418,139,0.167249,2016-07-06 18:04:29,2.0,8072,0.0002636,2
419,140,0.17844400000000002,2016-07-06 18:04:29,2.0,8340,0.0002636,2
700,1,0.175311,2016-07-06 18:05:50,5.0,2,0.0003036,2
701,2,0.184264,2016-07-06 18:05:50,5.0,4,0.0003036,2
702,3,0.174725,2016-07-06 18:05:50,5.0,6,0.0003036,2
703,4,0.168738,2016-07-06 18:05:50,5.0,8,0.0003036,2
704,5,0.17943,2016-07-06 18:05:50,5.0,10,0.0003036,2
705,6,0.178504,2016-07-06 18:05:50,5.0,12,0.0003036,2
706,7,0.17446199999999998,2016-07-06 18:05:50,5.0,14,0.0003036,2
707,8,0.18724000000000002,2016-07-06 18:05:50,5.0,16,0.0003036,2
708,9,0.18277000000000002,2016-07-06 18:05:50,5.0,18,0.0003036,2
709,10,0.18692999999999999,2016-07-06 18:05:50,5.0,20,0.0003036,2
710,11,0.177766,2016-07-06 18:05:50,5.0,22,0.0003036,2
711,12,0.18323299999999998,2016-07-06 18:05:50,5.0,24,0.0003036,2
712,13,0.18584,2016-07-06 18:05:50,5.0,26,0.0003036,2
713,14,0.183397,2016-07-06 18:05:50,5.0,28,0.0003036,2
714,15,0.194839,2016-07-06 18:05:50,5.0,30,0.0003036,2
715,16,0.186279,2016-07-06 18:05:50,5.0,32,0.0003036,2
716,17,0.189689,2016-07-06 18:05:50,5.0,34,0.0003036,2
717,18,0.19251300000000002,2016-07-06 18:05:50,5.0,36,0.0003036,2
718,19,0.192689,2016-07-06 18:05:50,5.0,38,0.0003036,2
719,20,0.200991,2016-07-06 18:05:50,5.0,40,0.0003036,2
720,21,0.198946,2016-07-06 18:05:50,5.0,42,0.0003036,2
721,22,0.19861800000000002,2016-07-06 18:05:50,5.0,44,0.0003036,2
722,23,0.18789,2016-07-06 18:05:50,5.0,46,0.0003036,2
723,24,0.197054,2016-07-06 18:05:50,5.0,48,0.0003036,2
724,25,0.197405,2016-07-06 18:05:50,5.0,50,0.0003036,2
725,26,0.19471,2016-07-06 18:05:50,5.0,52,0.0003036,2
726,27,0.197482,2016-07-06 18:05:50,5.0,54,0.0003036,2
727,28,0.201407,2016-07-06 18:05:50,5.0,56,0.0003036,2
728,29,0.2077,2016-07-06 18:05:50,5.0,58,0.0003036,2
729,30,0.202901,2016-07-06 18:05:50,5.0,60,0.0003036,2
730,31,0.199509,2016-07-06 18:05:50,5.0,62,0.0003036,2
731,32,0.21185900000000002,2016-07-06 18:05:50,5.0,64,0.0003036,2
732,33,0.204307,2016-07-06 18:05:50,5.0,66,0.0003036,2
733,34,0.198355,2016-07-06 18:05:50,5.0,68,0.0003036,2
734,35,0.20940999999999999,2016-07-06 18:05:50,5.0,70,0.0003036,2
735,36,0.202104,2016-07-06 18:05:50,5.0,72,0.0003036,2
736,37,0.20894200000000002,2016-07-06 18:05:50,5.0,74,0.0003036,2
737,38,0.203282,2016-07-06 18:05:50,5.0,76,0.0003036,2
738,39,0.201472,2016-07-06 18:05:50,5.0,78,0.0003036,2
739,40,0.2136,2016-07-06 18:05:50,5.0,80,0.0003036,2
740,41,0.215416,2016-07-06 18:05:50,5.0,82,0.0003036,2
741,42,0.203897,2016-07-06 18:05:50,5.0,84,0.0003036,2
742,43,0.199544,2016-07-06 18:05:50,5.0,86,0.0003036,2
743,44,0.21064699999999997,2016-07-06 18:05:50,5.0,88,0.0003036,2
744,45,0.210236,2016-07-06 18:05:50,5.0,90,0.0003036,2
745,46,0.20315899999999998,2016-07-06 18:05:50,5.0,92,0.0003036,2
746,47,0.208285,2016-07-06 18:05:50,5.0,94,0.0003036,2
747,48,0.211525,2016-07-06 18:05:50,5.0,96,0.0003036,2
748,49,0.203487,2016-07-06 18:05:50,5.0,98,0.0003036,2
749,50,0.200323,2016-07-06 18:05:50,5.0,100,0.0003036,2
750,51,0.20842,2016-07-06 18:05:50,5.0,102,0.0003036,2
751,52,0.21096900000000002,2016-07-06 18:05:50,5.0,104,0.0003036,2
752,53,0.21604299999999999,2016-07-06 18:05:50,5.0,106,0.0003036,2
753,54,0.21484699999999998,2016-07-06 18:05:50,5.0,108,0.0003036,2
754,55,0.20528600000000002,2016-07-06 18:05:50,5.0,110,0.0003036,2
755,56,0.20587199999999997,2016-07-06 18:05:50,5.0,112,0.0003036,2
756,57,0.201882,2016-07-06 18:05:50,5.0,114,0.0003036,2
757,58,0.220917,2016-07-06 18:05:50,5.0,116,0.0003036,2
758,59,0.21324200000000001,2016-07-06 18:05:50,5.0,118,0.0003036,2
759,60,0.200247,2016-07-06 18:05:50,5.0,120,0.0003036,2
760,61,0.20431300000000002,2016-07-06 18:05:50,5.0,122,0.0003036,2
761,62,0.195929,2016-07-06 18:05:50,5.0,124,0.0003036,2
762,63,0.214836,2016-07-06 18:05:50,5.0,126,0.0003036,2
763,64,0.19536099999999998,2016-07-06 18:05:50,5.0,128,0.0003036,2
764,65,0.20668000000000003,2016-07-06 18:05:50,5.0,130,0.0003036,2
765,66,0.21882600000000002,2016-07-06 18:05:50,5.0,132,0.0003036,2
766,67,0.20856100000000002,2016-07-06 18:05:50,5.0,134,0.0003036,2
767,68,0.21119200000000002,2016-07-06 18:05:50,5.0,136,0.0003036,2
768,69,0.194271,2016-07-06 18:05:50,5.0,138,0.0003036,2
769,70,0.224392,2016-07-06 18:05:50,5.0,140,0.0003036,2
770,71,0.21471300000000001,2016-07-06 18:05:50,5.0,142,0.0003036,2
771,72,0.209903,2016-07-06 18:05:50,5.0,144,0.0003036,2
772,73,0.204284,2016-07-06 18:05:50,5.0,146,0.0003036,2
773,74,0.206709,2016-07-06 18:05:50,5.0,148,0.0003036,2
774,75,0.20541500000000001,2016-07-06 18:05:50,5.0,150,0.0003036,2
775,76,0.205848,2016-07-06 18:05:50,5.0,152,0.0003036,2
776,77,0.20851399999999998,2016-07-06 18:05:50,5.0,154,0.0003036,2
777,78,0.208983,2016-07-06 18:05:50,5.0,156,0.0003036,2
778,79,0.217543,2016-07-06 18:05:50,5.0,158,0.0003036,2
779,80,0.213389,2016-07-06 18:05:50,5.0,160,0.0003036,2
780,81,0.206862,2016-07-06 18:05:50,5.0,162,0.0003036,2
781,82,0.21246900000000002,2016-07-06 18:05:50,5.0,164,0.0003036,2
782,83,0.216236,2016-07-06 18:05:50,5.0,166,0.0003036,2
783,84,0.21436100000000002,2016-07-06 18:05:50,5.0,168,0.0003036,2
784,85,0.209738,2016-07-06 18:05:50,5.0,170,0.0003036,2
785,86,0.196984,2016-07-06 18:05:50,5.0,172,0.0003036,2
786,87,0.21529299999999998,2016-07-06 18:05:50,5.0,174,0.0003036,2
