,fo_r,fm_r,alpha1,tau1,alpha2,tau2,alpha3,tau3,rsq,bias,chi,for_err,fmr_err,alpha1_err,tau1_err,alpha2_err,tau2_err,alpha3_err,tau3_err,nfl,datetime
23,214.57551840873177,301.8469470129956,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9999999999472,0.3013100012522007,49999.99999999936,0.42113514258112794,0.00042807081753827234,225.10810272547036,41.964136256291354,3822304926.403599,43797895.02439198,18847.349527920647,4379790.0320169935,1676902.291726879,13196744.818102805,6435382.20872727,61.0,2017-01-13 23:09:55
24,224.66897420543202,308.1300000000027,0.10000000000000002,775.9224294909271,0.10000000000000227,1999.9999999999998,0.6809362119416329,4512.630689191209,0.499735475726797,-6.716215547883515e-05,190.3069705840774,83.32455842089514,,,64411724.686005,,889166339.1260138,,109458903.61478332,61.0,2017-01-13 23:11:48
25,201.87025172017178,292.4100000000001,0.25353175247899373,100.00000000000001,0.10000000000000002,1999.9999843981511,0.6152063777258403,8879.692569890953,0.4309406446104278,-7.149988422516877e-05,220.40923421265623,46.252893950469655,4596398130.967655,12870953.471036026,255408.2266611295,5076665.879769368,11705715.453616122,31231953.252821792,382797.3024261279,61.0,2017-01-13 23:13:42
26,206.8747396415246,295.2313133418058,0.9999999999999506,100.00000000000001,0.10000000000000005,1999.9999999998413,0.35570055915843624,7559.238394573285,0.4579987048907559,0.00016055548715426744,193.73889315078827,37.66691323893712,,,4820.470675826987,,5814359.904478545,,4551243.797663653,61.0,2017-01-13 23:15:36
27,203.2912356305872,277.9500000000372,0.7399614491542914,491.73458151205443,0.10000000000025262,800.000000000356,0.32697220800355214,49999.99999999999,0.40789671807630423,6.261984096978548e-08,223.9210465209311,2576.797794414015,,,10494406.004848918,,121490577.1444098,,28881087.380876042,61.0,2017-01-13 23:17:30
28,183.92,284.6395749816504,0.9999995536712379,100.00000000000001,0.11720985568143737,1999.9999999999998,0.4722525504712942,49999.99999999993,0.4688001625543261,-0.00010119557739426221,249.04906959850803,2646.612854555861,,,30384.72179646188,,2704684.4966821857,,12691758.7765539,61.0,2017-01-13 23:19:23
29,204.86873737448607,310.09108151787467,0.46753602847768067,100.00000000050193,0.5367038604796781,1563.5155359569221,0.12419762115600413,49999.9999865057,0.5960417726902046,2.8741552665715843e-05,132.40639179238477,67.02983860935214,,,4220.483403689259,,57821.19995360107,,3335432.9738570107,61.0,2017-01-13 23:21:16
30,207.13091416996716,296.111176365981,0.9999999999999999,100.00000000000001,0.10000000000000002,1892.7999898403152,0.17039702896828593,49999.99999999999,0.48302964056719755,0.00022816198216422134,168.25588496807714,325.88620985273576,3748294971.0405474,42125021.037423484,87157.0599504746,4212500.65947021,5000418.144798848,7177977.284826731,47442450.04218273,61.0,2017-01-13 23:23:09
31,191.77175833807252,269.48129167387003,0.9999999999999999,100.00000000000001,0.10000000000000002,1495.362160985134,0.4298679583627586,49999.275633213765,0.4585265481787443,0.00019663144967117433,244.00906791794424,24.20273631166931,,,14128.794649842772,,5132713.486909362,,51643750.73028572,61.0,2017-01-13 23:25:03
32,197.06757261243703,271.80000000000007,0.10000000000000002,799.9999999705569,0.10000000000000002,1999.999999999996,0.527478448076535,18936.592201572737,0.3444131552197389,-0.0001010118300469931,216.99099832593464,30.989532189004873,3886897668.8540554,5201251.527283664,38838970.65487397,5200921.779788366,53874005.32030298,27434605.98356551,2377206.8423776347,61.0,2017-01-13 23:26:56
33,202.0352206251905,250.6516919397239,0.10000000000000002,799.9999999999984,0.9999999999997329,1999.9999999427714,0.1384184962716703,49999.999999995416,0.20662522082138568,0.00012802347287591196,269.2472134035673,896.7935914782385,,,25504666.92189385,,3376039.280849164,,48701046.445615664,61.0,2017-01-13 23:28:49
34,207.91660406717295,262.2900000000001,0.9622314462460564,100.00000000000001,0.10000000000000002,1999.9999999996442,0.6306265147160416,49999.999998561965,0.5115592386801666,0.00019714703064784432,174.2218148387727,294.055518635508,,,51038.82426341734,,6518665.49086736,,37593954.784330316,61.0,2017-01-13 23:30:43
35,198.40753758343072,305.01000000000005,0.7295670527483824,101.17942403412218,0.10000000000000002,1999.9999999790075,0.2861778089039323,17425.21191022847,0.5530078553247639,8.054485748581169e-05,206.1132453715346,113.83126234162002,3010219121.480988,20601368.942984987,2041.973991456285,2823779.6822797973,2229411.232559789,8081032.734578104,948445.1147744011,61.0,2017-01-13 23:32:36
36,201.73999999999998,271.7400000000037,0.9999999999997551,100.00000000000001,0.10000000000000002,1999.9999999999757,0.38097641703339385,6039.55148518883,0.3500941183069921,0.00025198081304629865,337.6696622082491,4985.776072969031,5697800256.024067,81397143.13097431,39070.84965826856,8139667.479510693,97000680.82295436,31010446.051474202,47772473.7599966,61.0,2017-01-13 23:34:30
37,201.81000000000003,275.4721039110728,0.9666297200345607,100.00000000000001,0.22169967575863567,1999.9999999999998,0.16405398330356677,49999.99999993052,0.4145133833372272,0.000322729131998959,237.3885190079203,2657.1252498953877,,,16787.62289457391,,723354.555450898,,16730482.552021137,61.0,2017-01-13 23:36:24
38,182.07282490299582,260.5200000000001,0.921888776712979,100.00000000000001,0.10000000000000002,800.0000000000623,0.5499159078114592,49999.99999999996,0.5699025077096961,9.102409722320456e-05,182.7870330563514,26.55866654186848,,,44631.80932934752,,2439398.924846456,,367644.1079422063,61.0,2017-01-13 23:38:17
39,203.4432195921473,278.3700000000001,0.10000000000000125,799.9999999999999,0.17183796180194968,1999.9999999999998,0.49206217636398714,49894.956169580415,0.42787843329959996,0.0003097643849479565,213.30296839436102,25.82105862538316,,,7756894.5116494745,,13120796.737806296,,16277155.154705912,61.0,2017-01-13 23:40:10
40,185.12999999999997,304.0128243596431,0.8145316095944825,100.00000000000001,0.20580311182624347,1999.9999999999998,0.23952425990025705,49999.999947322656,0.4757582192225228,4.0276054313620786e-05,256.65161188414356,3397.432185862189,1556013071.309883,10661101.79000748,2049.535507527493,2693680.099871443,989525.5501400466,3135044.0966372304,20627139.81937506,61.0,2017-01-13 23:42:04
41,180.4774127570237,269.6100000000132,0.9135675669835636,100.00000000000047,0.10000000000000002,1999.9999999657748,0.3985822091949282,27458.21235604316,0.47201868710802974,0.00016034922590496886,280.9124584764788,353.3419379007403,,,10835.046511616963,,3047637.9226807468,,5513104.79542776,61.0,2017-01-13 23:43:58
42,196.60929694601148,247.41000000000005,0.10000000000000002,798.7582244398352,0.10000000000000002,1128.0700252679453,0.8854815221172807,23270.900114306387,0.3666968811756409,0.00033688106548095055,248.99786129203872,1763.3071642801522,788303779.4222413,1552821.6357915788,91028317.37605985,1553960.1244565747,154172446.28719282,13740530.338984609,9727420.777701303,61.0,2017-01-13 23:45:52
43,193.74412775118205,274.38763248345106,0.9999999999999999,100.00000000000001,0.10000000000000002,800.0000001626665,0.32965796460582225,7226.428503337029,0.42142223198627493,0.0003183004776063077,258.27130603862526,32.26789309525436,1460138991.1984417,18106096.93621707,43224.42069396796,1810609.325888845,7255962.029551642,5968817.671122425,3090389.5766494125,61.0,2017-01-13 23:47:46
44,192.75197880985831,273.11827312169925,0.9999999999969573,100.00000000000001,0.10000000000000002,865.2258814902286,0.39940045655289047,49999.994034351665,0.5065201131829976,0.00011249874023746523,180.92173218119694,132.5397311468424,1092343952.9305885,13592066.445151974,120684.05589036447,1359206.1889698065,5360623.541543638,5428677.1023775255,17300898.775828302,61.0,2017-01-13 23:49:40
