,fo,fm,sigma,fvfm,rsq,bias,chi,fo_err,fm_err,sigma_err,nfl,datetime
58,307.397285898797,358.60624770942394,358.9910475353561,0.14279997110402043,0.2604817211825703,4.7230137481119866e-05,116.28993658940803,43.25003145802494,52.45689554019663,912.3715219383126,99.0,2017-01-14 00:16:08
59,314.14679140742845,357.8548965769706,262.90914895281253,0.12213918431081468,0.22271671867612086,5.329506535461692e-05,98.6189125480191,21.245086786338206,22.156422786596792,385.09238195107497,99.0,2017-01-14 00:18:01
60,325.26833215475153,357.4033350031141,100.00000000019156,0.0899124314217229,0.17381411830259696,1.0251644197878642e-05,111.09024533305991,144.096318574819,200.87750174355998,2669.0935270332093,99.0,2017-01-14 00:19:54
61,321.0053265731811,368.36974159966917,141.15441123092245,0.12857846255451133,0.2540903333685147,8.753375321238593e-05,112.36761109290222,75.72517217686874,17.354908767226664,347.0858875438291,99.0,2017-01-14 00:21:47
62,312.62235410530724,359.82055511664646,210.50069832415323,0.13117149740386158,0.31412618870791276,7.432888645409208e-06,96.70083353370694,532.6252496889098,36.09300934826654,2697.806808479253,99.0,2017-01-14 00:23:41
63,324.6742605094664,368.4666324791935,241.4751599828675,0.1188503058610061,0.24064831668252273,3.022159052566527e-05,106.23338794225465,55.95062889210116,15.201822334854134,600.1060864121729,99.0,2017-01-14 00:25:34
64,292.1845353084394,353.9440573241568,181.57764999195942,0.17448950120147214,0.43813257093279745,8.909954056310258e-05,91.33708471621722,32.11649982441359,42.45051226690724,274.90653725253395,99.0,2017-01-14 00:27:27
65,295.06526562686923,351.9228066970239,100.00000000008521,0.16156253584071983,0.27389702201622657,1.5522902289775594e-05,148.77870852118184,771.2097837828369,117.00554602671633,1547.8243961852206,99.0,2017-01-14 00:29:21
66,266.92839140588757,346.5807661616568,404.34136322098726,0.2298234135665126,0.34205135276607235,7.430027426979214e-05,107.2802988377143,62.78595023616828,27.241327233499668,903.9183079541091,99.0,2017-01-14 00:31:14
67,318.03493949587676,368.9109180818631,100.00000004413504,0.13790857383813376,0.2851526160373774,7.430121859564878e-05,114.2338690972099,53.04175560124991,216.6957912900025,1153.122109904008,99.0,2017-01-14 00:33:08
68,272.50815755278126,334.72999999999996,308.37071514966533,0.18588666222692532,0.36581084212306403,-7.616741304505475e-05,104.98253506187034,24.840082990624243,136.2825620813661,1197.3945500885895,99.0,2017-01-14 00:35:01
69,277.50227897027514,342.4581565945185,954.2610738663535,0.18967537018297168,0.1451259486496217,7.488578797295136e-05,125.16651071501636,2040.4829067775943,28.665159260833374,105833.27037619437,99.0,2017-01-14 00:36:54
70,281.0977008150331,342.78149695227364,301.0729218888595,0.17995077530637238,0.2049338029332608,0.00014433670990583915,142.83891911251249,38.253529286003335,28.030064841161884,390.99421325303064,99.0,2017-01-14 00:38:47
71,299.4259876450317,356.1738719049216,313.3526987270407,0.15932635360473163,0.2164340276640816,5.405721546116027e-05,90.11385859908066,123.63490317458346,39.617816207065935,1062.7690967424646,99.0,2017-01-14 00:40:41
72,289.0186814515098,348.1939494312811,560.5217472265888,0.1699491564296985,0.215521009075602,3.238516857181668e-05,132.2714011215026,67.44297212930854,29.96791923507526,930.8816412072722,99.0,2017-01-14 00:42:34
73,315.90872152715906,360.6906255486666,117.1050837679126,0.1241559964398501,0.2653451143902369,5.975704313548614e-05,137.5503713594208,40.892338251589464,37.82549752133124,379.7110091865501,99.0,2017-01-14 00:44:28
74,262.17931797414957,331.23479178335253,418.10768341705426,0.20847892649625224,0.3142880854834408,-9.242300749155915e-06,84.58852364552777,72.98928246083435,21.802895150853608,525.1952686010231,99.0,2017-01-14 00:46:21
75,301.2489127893724,349.51471926481184,310.03526023142524,0.13809377349533186,0.2079677088460391,-2.3343929778086896e-05,87.65367230939293,413.4735631638035,35.419749798616806,2150.2460422582917,99.0,2017-01-14 00:48:15
76,347.4045888841571,383.10560182357926,101.616416672392,0.09318843882596778,0.2042360951562634,-8.542733876774767e-06,106.47834180906992,34.093463961855896,58.72051072402381,308.81715710385015,99.0,2017-01-14 00:50:08
77,332.7487667108599,371.2901463392612,146.52408073939338,0.10380393880204035,0.3324431693235471,4.101338833222899e-05,66.97825616244457,23.783217699210823,19.25914806932783,217.36085107801307,99.0,2017-01-14 00:52:02
78,311.5501145125012,349.727306920613,124.48323012705781,0.10916274380821488,0.23349685258714326,3.226430348493051e-05,87.73229906365106,81.01328388735858,77.11643263719094,535.9050809553603,99.0,2017-01-14 00:53:55
79,293.16297750288095,345.5310615266741,474.090728937252,0.151558252946676,0.15191638367162352,2.3639415943556977e-05,103.93213042452462,49.97673969379059,27.393455969477795,1035.6646620402105,99.0,2017-01-14 00:55:49
80,303.75000000000006,366.0952463744279,1569.558736615219,0.17029788556900183,0.08073087047254479,-2.7836050762224975e-06,104.34399391744351,2312.911818867875,18.676292062817335,31908.19536617627,99.0,2017-01-14 00:57:43
81,308.7454345290154,353.7411039968698,172.8296699363716,0.12719943755321275,0.25854280950123976,-1.1611410515597692e-05,120.7907256505958,68.0093807997757,18.657004612542217,445.4640370107707,99.0,2017-01-14 00:59:36
82,295.37127519863185,334.9726207919191,100.00000000066817,0.11822263413548394,0.2020341079875202,9.095498321353976e-05,125.68499954518668,313.60445679405126,128.59083390766264,1923.3260397933775,99.0,2017-01-14 01:01:30
83,300.8109197809548,334.11345654265284,142.73191843663355,0.09967433549760855,0.14736716112870352,3.9301967746232456e-05,120.30031183292958,33.24961304390078,44.09856378324758,616.3193749529685,99.0,2017-01-14 01:03:23
84,297.68676562785146,369.1273502482621,603.0175023326354,0.19353912564962253,0.1875565864601576,9.581822882194685e-06,94.44730295639033,42.85239920520502,49.463863300913374,1067.280843001151,99.0,2017-01-14 01:05:17
85,342.75388205820667,373.20261667736645,131.5331477773525,0.08158767719863738,0.2763092948905489,2.8770676458111278e-05,78.47671859262584,44.10971611355287,13.703243629783188,268.6464163338433,99.0,2017-01-14 01:07:10
86,382.2497922882882,424.120722725267,392.7385016894066,0.09872408536873495,0.1353641402949214,6.326088344372848e-05,110.65926981812187,29.06517898241157,15.606922712702385,614.9020213482236,99.0,2017-01-14 01:09:03
87,377.76201087021343,440.475927062213,279.88053032826946,0.14237762460771622,0.32038837565471157,8.209931460315066e-05,82.33798506304575,95.2009442586995,19.433873068998917,688.3417967477382,99.0,2017-01-14 01:10:56
88,309.5400000000003,381.3241983717838,1398.3653266054396,0.18824978503408604,0.10705396668793088,4.429654573720427e-06,122.16068356401811,6469.009241888275,21.83496823803774,90146.110216552,99.0,2017-01-14 01:12:50
89,343.1058375035848,377.0892759827252,110.3060777073685,0.09012040554740476,0.2394159578589602,-1.2279156280387356e-05,75.55754647737011,19.931148950896308,24.653514863611957,211.1977709455122,99.0,2017-01-14 01:14:44
90,313.1400000002354,381.58184208193734,1373.6162359332345,0.17936346684705556,0.09717370171346895,0.0001021093996945982,98.56083244796336,287.37701406752404,13.905141088898729,2960.0360819441185,99.0,2017-01-14 01:16:37
91,352.3526214207215,384.1061533655489,619.668265834967,0.08266863643449096,0.10907661650410572,5.953933390171371e-05,98.40939787528742,141.30624361556755,14.812083673757304,2657.4925809567517,99.0,2017-01-14 01:18:31
92,323.42917453863976,391.7148980637416,864.5939532955434,0.17432506106517828,0.1806769974609389,4.96234897938608e-05,67.21055714855221,41.7979434316284,23.58406288578506,1404.116040979145,99.0,2017-01-14 01:20:25
93,328.437253307814,393.00890638822426,549.9177112249059,0.16430073728818945,0.29386225214055306,6.696060885401905e-05,76.91971139168353,124.96188244423921,26.61066521783898,3501.1900231439345,99.0,2017-01-14 01:22:18
94,290.9700000000001,367.86621719002756,1277.0878530541977,0.20903310387511181,0.1062079547112057,6.763219027037226e-05,144.41289369588964,2175.3726942561534,24.363459122187006,31253.295564298038,99.0,2017-01-14 01:24:12
95,312.6047112299676,360.36019972599587,125.07956126131737,0.1325215396493278,0.41798516969665145,9.772835582790105e-05,73.46774512063898,48.788519325506634,489.4861864975962,2651.105775451088,99.0,2017-01-14 01:26:05
96,267.15000000000003,341.6631769832913,1268.3844058194336,0.218089574771282,0.1077681547556194,0.00014574576176221816,160.0438270109601,10218.195632348243,18.855226065326374,152537.37382879373,99.0,2017-01-14 01:27:59
97,305.4860658291472,350.5508851525623,706.1662053825751,0.12855428764301233,0.0836133651933002,4.2914677209482796e-05,117.13063609332096,46.53400015756004,19.769015020561568,1348.8345561748781,99.0,2017-01-14 01:29:52
98,310.7546326064124,347.40534789110615,100.00000000000001,0.10549841995000579,0.25835738838930344,0.0001415581782593264,117.10363292603219,42.70335976385571,73.41844586619567,494.9830205913606,99.0,2017-01-14 01:31:46
99,295.56976905063027,336.56491000685634,317.23086505627845,0.12180456053897874,0.15498212623917762,9.471238983929517e-05,142.95378310804273,34.314309917422676,32.115292277396,757.302409317952,99.0,2017-01-14 01:33:39
100,310.51391492668733,346.3023495768371,187.43234357252396,0.1033444754096567,0.1473838541945638,9.875414447311898e-05,133.3729424929935,286.39543420512194,23.67857283052761,1555.2215269073195,99.0,2017-01-14 01:35:33
101,310.2990063428929,346.1043456753616,117.53240254602183,0.10345244080250116,0.1050867038285217,-2.6807535467949214e-06,104.51001696376517,44.672306463081625,34.09472224452375,421.1163197882831,99.0,2017-01-14 01:37:26
102,328.80916117137144,364.86643476571885,100.00000000049054,0.09882321353428912,0.2448748893049154,8.481864847393457e-05,112.92162392524094,291.18183263379416,56.25940144993006,973.5629049113104,99.0,2017-01-14 01:39:20
103,289.20000004926686,347.6863737900698,1862.2303654002371,0.16821589268297452,0.07451868297841313,4.82535661670544e-05,129.8527909768249,195213.61771222518,17.502418811005676,1050298.0377369507,99.0,2017-01-14 01:41:13
104,298.71000000008763,357.2010002748715,1559.9573373124456,0.16374814244577748,0.09462506890943423,-7.612044836020152e-06,77.72419293446512,10007.042103858652,15.63641592348774,77936.70722446428,99.0,2017-01-14 01:43:06
105,319.83320616208,355.02656271283695,144.79456885070869,0.09912879836887892,0.18683249866254448,1.6102682119941317e-05,93.7410173766874,80.39546802838446,53.406417023827814,660.9623093457843,99.0,2017-01-14 01:44:59
106,336.246675096167,380.5948044264921,202.87453811820956,0.11652321265171257,0.22075423476592082,9.112964319976183e-05,98.04303685265023,152.17278495892938,20.38454005600623,533.1343162665761,99.0,2017-01-14 01:46:53
107,267.0000000013422,349.380146008279,913.121907592216,0.23578943150646203,0.2013231672562572,4.4424517233371456e-05,108.19513087742976,905.9126142454135,30.631784338247307,9210.976862691763,99.0,2017-01-14 01:48:46
108,327.3285564248958,365.5323418551081,100.0000000000002,0.10451547251968128,0.31062124644818945,7.561268435336333e-05,81.11650087436848,105.44317133426348,301.20022374298907,1786.475367936663,99.0,2017-01-14 01:50:40
109,297.31796022217725,363.60943143381724,385.9454424076338,0.18231504873301424,0.32425778809385164,1.5469062035379865e-05,71.28061498452269,30.839716350494815,14.13978364972786,489.83629496908736,99.0,2017-01-14 01:52:33
110,316.98663401028875,373.42479630305655,158.3931533875458,0.1511366220227241,0.2964546489720262,0.00010108617399052685,103.39355616980077,25.366032302785854,21.2471175729302,293.10188085033866,99.0,2017-01-14 01:54:27
111,301.1040999905091,368.80795972149656,410.4156414347086,0.18357483331464344,0.21947882107116623,5.897234191053104e-05,110.18800013305837,26.566539502664302,37.4243869538759,651.3369882866504,99.0,2017-01-14 01:56:21
112,350.55279393010227,392.04742445312365,100.0000000185825,0.10584084458889952,0.2605083549972891,-2.577698403674201e-05,98.04171226582295,25.47090240286947,38.975409164181976,293.08384563436357,99.0,2017-01-14 01:58:14
113,345.1142218042901,387.87113222366094,149.89337781071364,0.11023483540588844,0.29321281825862444,8.37018727283947e-05,97.59965950936336,38.2397131599906,22.83602896880536,226.0849593993564,99.0,2017-01-14 02:00:07
114,337.5475520462536,390.709184179459,147.90698726384295,0.1360644548063334,0.20139931344485695,0.0001198220755931523,177.4739671197185,203.77956723818306,39.85686861626464,560.8301871438688,99.0,2017-01-14 02:02:01
115,347.9796442356674,390.72570847162575,100.00000000090463,0.10940171918342691,0.32909990558256885,9.069002053737132e-05,103.71205932130346,563.552782955154,170.48760090447965,1862.6806812147952,99.0,2017-01-14 02:03:54
116,332.98890841245515,374.75761990868347,162.0722869302476,0.1114552694256251,0.23487092132818266,-1.8761882376242283e-08,111.46785857033989,57.7977104142381,24.144342441482088,496.27977855478247,99.0,2017-01-14 02:05:48
117,343.52204736320135,372.32645256865226,144.35543882631475,0.07736330579450232,0.18302777777672197,7.198685519046388e-05,108.17673925415498,105.11762194130411,145.11697444664836,1343.786633606487,99.0,2017-01-14 02:07:41
118,334.3694800069279,375.3833353756077,132.99764863526082,0.10925859382553951,0.15533359709453676,2.933217998964264e-05,118.4834994309107,103.78602782686836,43.80592091675209,1262.1072881679315,99.0,2017-01-14 02:09:35
119,333.3618491620693,367.9552602780119,124.242314677912,0.09401526449113747,0.31912774129538335,6.548614465444412e-05,69.89300890727267,33.98415399816941,19.483550191802863,228.52644636805212,99.0,2017-01-14 02:11:29
120,289.8857904137232,356.4140204435168,447.8912557899014,0.18665996906352547,0.38347931594116924,5.122476885613523e-05,74.71637546684931,26.809079601109193,26.914939367832744,520.6977924993334,99.0,2017-01-14 02:13:23
121,314.83672813890564,347.6453444512859,100.0000000000008,0.09437381180571969,0.21152802965081707,3.337443654170422e-05,120.61786270897139,39.20585638322115,26.355231919926126,286.84465187186504,99.0,2017-01-14 02:15:16
122,318.21706676738484,347.2913061756284,149.0413040849597,0.08371715298148134,0.1805317189524086,0.00010071117350578239,105.59228650077648,59.11509066959486,27.420695541146408,762.1963643273034,99.0,2017-01-14 02:17:10
123,299.5698497273425,350.70564670334903,333.9404087801931,0.14580830806884815,0.26770679552293075,5.101886738524353e-05,91.07471569803783,80.36080130186087,28.977454383781506,6686.259705496779,99.0,2017-01-14 02:19:04
124,313.2235288248193,368.40370422212965,153.9431423017248,0.14978181479966704,0.3897176990506275,-1.7551850840305697e-05,74.60246712579195,222.95870145025162,110.79793649066995,726.6859424253138,99.0,2017-01-14 02:20:58
125,339.52263397231434,376.26892104985905,164.19045375243803,0.0976596392149951,0.21880840776253352,6.368983685096252e-05,99.02941291483408,27.449495112430867,26.277751509573324,302.2443547826565,99.0,2017-01-14 02:22:51
126,277.14411168985845,337.2222889670972,632.9979632341538,0.17815600938258438,0.15101520992443052,2.3121553752160538e-05,88.29036458029141,37.29168327906668,16.51699837173281,607.4864687313288,99.0,2017-01-14 02:24:44
127,298.37257305809936,331.2273664876512,100.00000000000001,0.09919105953697431,0.15972601991698498,-1.1389124161528612e-05,116.2526939553237,338.99460129937006,222.5736561906828,2100.9300498808407,99.0,2017-01-14 02:26:38
128,281.4013479880843,317.523952475646,201.34839799127388,0.11376340022830973,0.21665642320745626,-4.55881873899657e-05,99.89576067756234,24.228093196712337,36.212940522179274,401.6418029230877,99.0,2017-01-14 02:28:32
129,238.19745803567156,311.551266896671,738.1793856210301,0.23544699269455366,0.19135238883240724,7.018520293246117e-05,105.66287924641772,27.79584843002815,21.449769734490346,915.020030332786,99.0,2017-01-14 02:30:26
130,259.2523429901793,308.86109681357186,358.0903407111529,0.1606183308134024,0.21708944611091785,9.315700548339673e-05,110.71548220557641,31.49641345614914,20.42710668319693,503.07138732611816,99.0,2017-01-14 02:32:19
