,flashlet_number,fyield,datetime,seq,seq_time,pfd
123,124.0,181.5,2017-01-13 22:26:21,0,12501,0.00028443295999999995
124,125.0,227.7,2017-01-13 22:26:21,0,14685,0.00028443295999999995
125,126.0,193.1,2017-01-13 22:26:21,0,17197,0.00028443295999999995
126,127.0,246.8,2017-01-13 22:26:21,0,20086,0.00028443295999999995
127,128.0,209.7,2017-01-13 22:26:21,0,23408,0.00028443295999999995
128,129.0,199.2,2017-01-13 22:26:21,0,27228,0.00028443295999999995
129,130.0,222.6,2017-01-13 22:26:21,0,31621,0.00028443295999999995
130,131.0,187.4,2017-01-13 22:26:21,0,36673,0.00028443295999999995
131,132.0,174.0,2017-01-13 22:26:21,0,42483,0.00028443295999999995
132,133.0,236.4,2017-01-13 22:26:21,0,49165,0.00028443295999999995
133,134.0,268.1,2017-01-13 22:26:21,0,56849,0.00028443295999999995
134,135.0,232.9,2017-01-13 22:26:21,0,65686,0.00028443295999999995
135,136.0,215.1,2017-01-13 22:26:21,0,75849,0.00028443295999999995
136,137.0,229.1,2017-01-13 22:26:21,0,87536,0.00028443295999999995
137,138.0,247.3,2017-01-13 22:26:21,0,100976,0.00028443295999999995
138,139.0,218.3,2017-01-13 22:26:21,0,116432,0.00028443295999999995
139,140.0,251.6,2017-01-13 22:26:21,0,134206,0.00028443295999999995
140,141.0,218.5,2017-01-13 22:26:21,0,154646,0.00028443295999999995
141,142.0,227.0,2017-01-13 22:26:21,0,178152,0.00028443295999999995
142,143.0,221.1,2017-01-13 22:26:21,0,205184,0.00028443295999999995
143,144.0,275.6,2017-01-13 22:26:21,0,236271,0.00028443295999999995
144,145.0,245.7,2017-01-13 22:26:21,0,272021,0.00028443295999999995
145,146.0,141.9,2017-01-13 22:26:21,0,313133,0.00028443295999999995
146,147.0,212.7,2017-01-13 22:26:21,0,360412,0.00028443295999999995
147,148.0,233.9,2017-01-13 22:26:21,0,414783,0.00028443295999999995
148,149.0,209.6,2017-01-13 22:26:21,0,477310,0.00028443295999999995
149,150.0,213.7,2017-01-13 22:26:21,0,542310,0.00028443295999999995
150,151.0,241.4,2017-01-13 22:26:21,0,607310,0.00028443295999999995
151,152.0,261.0,2017-01-13 22:26:21,0,672310,0.00028443295999999995
152,153.0,209.1,2017-01-13 22:26:21,0,737310,0.00028443295999999995
153,154.0,210.3,2017-01-13 22:26:21,0,802310,0.00028443295999999995
154,155.0,250.8,2017-01-13 22:26:21,0,867310,0.00028443295999999995
155,156.0,211.4,2017-01-13 22:26:21,0,932310,0.00028443295999999995
